loc,val
0,6
1,3
2,1
3,4
4,3
5,2
6,2
7,2
8,6
9,5
10,4
11,3
12,2
13,3
14,2
15,1
16,7
17,7
18,6
19,6
20,6
21,5
22,4
23,2
24,3
25,3
26,5
27,3
28,2
29,1
30,4
31,2
32,4
33,1
34,1
35,0
36,1
37,1
38,3
39,3
40,2
41,2
42,1
43,4
44,1
45,2
46,2
47,1
48,1
49,1
50,0
51,1
52,3
53,3
54,2
55,2
56,2
57,1
58,1
59,1
60,3
61,1
62,1
63,1
64,3
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,3
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,0
84,3
85,3
86,2
87,2
88,1
89,1
90,1
91,1
92,1
93,1
94,3
95,2
96,2
97,1
98,1
99,1
100,3
101,2
102,2
103,1
104,1
105,1
106,1
107,1
108,3
109,2
110,2
111,2
112,1
113,1
114,1
115,0
116,3
117,3
118,1
119,1
120,0
121,3
122,2
123,2
124,1
125,0
126,3
127,2
128,2
129,6
130,1
131,4
132,5
133,4
134,3
135,3
136,2
137,2
138,2
139,2
140,2
141,1
142,1
143,1
144,1
145,0
146,2
147,1
148,1
149,1
150,2
151,3
152,1
153,1
154,1
155,1
156,1
157,1
158,2
159,1
160,2
161,1
162,1
163,1
164,2
165,1
166,2
167,3
168,3
169,2
170,2
171,2
172,2
173,3
174,2
175,1
176,6
177,4
178,4
179,5
180,6
181,5
182,3
183,6
184,4
185,3
186,4
187,6
188,3
189,3
190,5
191,4
192,3
193,5
194,3
195,3
196,3
197,2
198,3
199,1
200,4
201,1
202,1
203,2
204,2
205,1
206,1
207,1
208,1
209,1
210,1
211,2
212,2
213,1
214,1
215,3
216,3
217,2
218,2
219,2
220,1
221,2
222,2
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,3
233,3
234,2
235,5
236,2
237,2
238,2
239,1
240,1
241,1
242,2
243,2
244,2
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,2
256,1
