loc,val
0,6
1,2
2,2
3,1
4,1
5,1
6,1
7,1
8,3
9,2
10,4
11,3
12,2
13,1
14,1
15,0
16,3
17,3
18,2
19,2
20,1
21,0
22,5
23,2
24,4
25,3
26,2
27,3
28,7
29,7
30,4
31,3
32,4
33,2
34,2
35,7
36,1
37,3
38,1
39,1
40,1
41,4
42,3
43,4
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,3
55,3
56,2
57,2
58,2
59,1
60,1
61,1
62,3
63,2
64,1
65,1
66,0
67,1
68,2
69,1
70,1
71,3
72,2
73,2
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,4
85,3
86,3
87,2
88,2
89,1
90,3
91,2
92,2
93,1
94,1
95,1
96,2
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,3
105,3
106,2
107,2
108,1
109,1
110,2
111,1
112,1
113,1
114,1
115,4
116,3
117,2
118,2
119,2
120,1
121,1
122,1
123,0
124,1
125,2
126,3
127,2
128,2
129,4
130,3
131,5
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,3
140,3
141,2
142,2
143,2
144,1
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,3
156,2
157,2
158,2
159,1
160,1
161,1
162,1
163,1
164,1
165,2
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,4
175,3
176,2
177,2
178,1
179,1
180,1
181,2
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,1
190,2
191,2
192,2
193,2
194,1
195,1
196,2
197,3
198,2
199,2
200,2
201,1
202,1
203,1
204,1
205,1
206,2
207,3
208,3
209,2
210,2
211,1
212,1
213,1
214,1
215,1
216,2
217,1
218,0
219,1
220,1
221,0
222,0
223,3
224,2
225,2
226,2
227,1
228,1
229,2
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,9
239,9
240,8
241,8
242,8
243,8
244,7
245,7
246,1
247,6
248,6
249,6
250,5
251,5
252,5
253,4
254,6
255,5
256,10
257,4
258,8
259,4
260,12
261,10
262,1
263,8
264,1
265,2
266,2
267,2
268,1
269,0
270,1
271,2
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,3
286,3
287,2
288,2
289,2
290,2
291,1
292,1
293,1
294,3
295,3
296,3
297,2
298,2
299,2
300,1
301,2
302,1
303,1
304,3
305,3
306,3
307,1
308,2
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,2
331,1
332,1
333,1
334,1
335,1
336,1
337,3
338,2
339,2
340,2
341,1
342,1
343,1
344,1
345,3
346,3
347,2
348,2
349,2
350,2
351,1
352,1
353,1
354,1
355,1
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,2
385,3
386,3
387,2
388,2
389,2
390,1
391,5
392,1
393,9
394,2
395,2
396,3
397,3
398,3
399,2
400,2
401,1
402,1
403,1
404,4
405,3
406,2
407,2
408,2
409,1
410,2
411,2
412,2
413,2
414,1
415,3
416,3
417,2
418,2
419,2
420,1
421,1
422,4
423,3
424,2
425,2
426,2
427,1
428,1
429,1
430,1
431,1
432,2
433,1
434,3
435,3
436,3
437,2
438,2
