loc,val
0,6
1,3
2,5
3,3
4,4
5,2
6,2
7,1
8,4
9,4
10,2
11,2
12,1
13,4
14,5
15,4
16,4
17,3
18,2
19,2
20,2
21,5
22,5
23,4
24,5
25,5
26,4
27,4
28,7
29,8
30,3
31,2
32,3
33,1
34,2
35,2
36,1
37,3
38,2
39,2
40,2
41,4
42,3
43,5
44,4
45,5
46,4
47,4
48,1
49,3
50,4
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,4
64,2
65,2
66,1
67,1
68,4
69,4
70,2
71,3
72,3
73,2
74,1
75,2
76,1
77,3
78,2
79,3
80,2
81,2
82,1
83,2
84,1
85,2
86,2
87,2
88,3
89,4
90,2
91,2
92,2
93,1
94,1
95,1
96,3
97,2
98,2
99,2
100,1
101,1
102,1
103,1
104,2
105,2
106,1
107,1
108,0
109,8
110,8
111,7
112,6
113,6
114,6
115,5
116,4
117,3
118,4
119,2
120,1
121,1
122,1
123,3
124,2
125,2
126,1
127,1
128,3
129,6
130,2
131,8
132,3
133,3
134,2
135,2
136,1
137,1
138,1
139,3
140,1
141,2
142,1
143,3
144,2
145,2
146,2
147,1
148,1
149,1
150,17
151,17
152,16
153,16
154,15
155,14
156,14
157,16
158,18
159,5
160,16
161,16
162,4
163,14
164,14
165,14
166,14
167,14
168,17
169,5
170,14
171,14
172,25
173,3
174,12
175,12
176,1
177,23
178,15
179,14
180,24
181,2
182,2
183,22
184,11
185,22
186,21
187,10
188,10
189,21
190,20
191,19
192,1
193,1
194,8
195,7
196,6
197,21
198,11
199,10
200,20
201,10
202,18
203,8
204,28
205,11
206,16
207,39
208,11
209,26
210,9
211,8
212,8
213,14
214,2
215,21
216,7
217,6
218,7
219,22
220,43
221,18
222,23
223,12
224,24
225,23
226,16
227,22
228,14
229,9
230,7
231,14
232,14
233,13
234,13
235,5
236,17
237,11
238,8
239,10
240,13
241,19
242,15
243,12
244,24
245,9
246,13
247,7
248,5
249,8
250,6
251,7
252,13
253,6
254,5
255,17
256,4
