loc,val
0,7
1,3
2,2
3,3
4,2
5,2
6,1
7,1
8,3
9,2
10,1
11,1
12,1
13,0
14,1
15,1
16,3
17,2
18,3
19,3
20,2
21,2
22,1
23,1
24,4
25,2
26,2
27,2
28,1
29,3
30,3
31,3
32,2
33,2
34,2
35,2
36,1
37,1
38,1
39,1
40,1
41,2
42,1
43,4
44,2
45,2
46,3
47,2
48,2
49,2
50,1
51,1
52,1
53,0
54,1
55,2
56,1
57,0
58,1
59,1
60,2
61,3
62,3
63,3
64,3
65,2
66,2
67,1
68,1
69,2
70,1
71,1
72,1
73,1
74,2
75,2
76,2
77,1
78,2
79,4
80,3
81,3
82,3
83,2
84,2
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,22
120,21
121,21
122,20
123,3
124,19
125,19
126,18
127,17
128,16
129,10
130,5
131,5
132,4
133,21
134,5
135,21
136,4
137,3
138,2
139,4
140,7
141,4
142,4
143,16
144,3
145,1
146,5
147,6
148,3
149,1
150,3
151,1
152,1
153,2
154,3
155,4
156,2
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,3
170,2
171,2
172,2
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,0
181,1
182,1
183,0
184,3
185,2
186,2
187,2
188,1
189,1
190,1
191,3
192,3
193,2
194,2
195,2
196,1
197,2
198,1
199,2
200,3
201,3
202,2
203,2
204,2
205,1
206,2
207,1
208,1
209,1
210,1
211,1
212,3
213,3
214,2
215,2
216,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,3
234,2
235,2
236,2
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,3
252,2
253,2
254,2
255,1
256,1
257,1
258,1
259,1
260,0
261,3
262,5
263,1
264,1
265,1
266,3
267,2
268,2
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,2
279,2
280,3
281,2
282,2
283,2
284,1
285,2
286,1
287,3
288,2
289,2
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,1
303,2
304,1
305,1
306,0
307,1
308,10
309,9
310,9
311,8
312,8
313,8
314,7
315,12
316,11
317,9
318,8
319,6
320,6
321,7
322,4
323,8
324,2
325,2
326,7
327,7
328,3
329,7
330,5
331,10
332,4
333,5
334,6
335,5
336,3
337,2
338,12
339,9
340,8
341,9
342,28
343,28
344,27
345,29
346,30
347,29
348,31
349,25
350,27
351,34
352,36
353,26
354,35
355,25
356,31
357,26
358,26
359,24
360,25
361,24
362,22
363,22
364,3
365,22
366,21
367,21
368,23
369,22
370,21
371,22
372,20
373,20
374,18
375,20
376,18
377,26
378,25
379,24
380,23
381,22
382,5
383,45
384,42
385,40
386,38
387,37
388,36
389,32
390,20
391,12
392,10
393,50
394,3
395,33
396,8
397,6
398,11
399,33
400,4
401,10
402,9
403,2
404,5
405,14
406,3
407,59
408,8
409,13
410,14
411,7
412,16
413,7
414,12
415,17
416,11
417,16
418,17
419,16
420,8
421,3
422,4
423,9
424,9
425,4
426,10
427,17
428,21
429,19
430,22
431,16
432,14
433,24
434,17
435,12
436,4
437,12
438,13
439,20
440,14
441,12
442,4
443,13
444,11
445,11
446,3
447,12
448,14
449,14
450,14
451,21
452,22
453,3
454,12
455,11
456,19
457,11
458,10
459,1
460,9
461,9
462,17
463,1
464,6
465,5
466,15
467,16
468,5
469,2
470,7
471,24
472,6
473,22
474,2
475,12
476,9
477,6
478,5
479,3
480,7
481,10
482,6
483,6
484,15
485,5
486,4
487,12
488,4
489,30
490,23
491,4
492,5
493,8
494,1
495,1
496,1
497,1
498,2
499,2
500,2
501,4
502,3
503,2
504,1
505,1
506,1
507,2
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,3
521,3
522,2
523,2
524,1
525,1
526,1
527,1
528,1
529,1
530,3
531,2
532,2
533,2
534,1
535,1
536,0
537,3
538,2
539,1
540,1
541,3
542,3
543,2
544,2
545,2
546,2
547,1
548,1
549,0
550,1
551,1
552,0
553,7
554,7
555,7
556,7
557,7
558,6
559,6
560,6
561,5
562,5
563,1
564,5
565,5
566,2
567,4
568,11
569,5
570,5
571,4
572,4
573,8
574,8
575,8
576,9
577,14
578,2
579,4
580,4
581,3
582,6
583,3
584,1
585,5
586,1
587,3
588,3
589,1
590,1
591,1
592,0
593,4
594,3
595,3
596,2
